id,session_id,event_type,action,target_element,target_section,coordinates,text_content,metadata,timestamp
66927,session_1762096692449_ij9sf4nym,mouse,cursor_move,,prompting,"{""x"":942,""y"":751}",,,310
66928,session_1762096692449_ij9sf4nym,mouse,cursor_move,,,"{""x"":1383,""y"":0}",,,417
66929,session_1762096692449_ij9sf4nym,mouse,cursor_move,,writing,"{""x"":1306,""y"":160}",,,8419
66930,session_1762096692449_ij9sf4nym,mouse,cursor_move,,prompting,"{""x"":501,""y"":706}",,,8752
66931,session_1762096692449_ij9sf4nym,mouse,cursor_move,,prompting,"{""x"":203,""y"":904}",,,8858
66932,session_1762096692449_ij9sf4nym,mouse,cursor_move,,prompting,"{""x"":118,""y"":947}",,,8965
66933,session_1762096692449_ij9sf4nym,mouse,cursor_move,,prompting,"{""x"":91,""y"":965}",,,9072
66934,session_1762096692449_ij9sf4nym,mouse,cursor_move,,prompting,"{""x"":69,""y"":966}",,,9192
66935,session_1762096692449_ij9sf4nym,mouse,hover_start,"[placeholder=""Ask anything""]",prompting,"{""x"":126,""y"":943}",,,9243
66936,session_1762096692449_ij9sf4nym,mouse,click,"[placeholder=""Ask anything""]",prompting,"{""x"":69,""y"":966}",,{},9402
66937,session_1762096692449_ij9sf4nym,keyboard,keyboard_shortcut,"[placeholder=""Ask anything""]",prompting,,,"{""key"":""v"",""altKey"":false,""ctrlKey"":false,""metaKey"":true,""shiftKey"":false,""shortcut"":""Cmd+V""}",9628
66938,session_1762096692449_ij9sf4nym,keyboard,paste,"[placeholder=""Ask anything""]",prompting,,"hi, can you give me summary of new changes from iphone 13 to 17? I want separate the changes for each batch","{""textLength"":107}",9634
66939,session_1762096692449_ij9sf4nym,keyboard,text_insert,"[placeholder=""Ask anything""]",prompting,,,"{""newLength"":107,""charsDelta"":107,""insertedText"":""hi, can you give me summary of new changes from iphone 13 to 17? I want separate the changes for each batch"",""previousLength"":0}",9636
66940,session_1762096692449_ij9sf4nym,mouse,scroll,,prompting,"{""x"":0,""y"":4}",,"{""clientHeight"":28,""scrollHeight"":34,""scrollDirection"":""down""}",9638
66941,session_1762096692449_ij9sf4nym,ui,composer_interaction,send-button,prompting,,,"{""hasContext"":false,""promptLength"":107,""isCustomPrompt"":false}",10174
66942,session_1762096692449_ij9sf4nym,keyboard,key_press,"[placeholder=""Ask anything""]",prompting,,,"{""key"":""Enter"",""code"":""Enter"",""altKey"":false,""ctrlKey"":false,""metaKey"":false,""shiftKey"":false}",10177
66943,session_1762096692449_ij9sf4nym,mouse,scroll,,prompting,"{""x"":0,""y"":0}",,"{""clientHeight"":28,""scrollHeight"":28,""scrollDirection"":""up""}",10194
66944,session_1762096692449_ij9sf4nym,mouse,cursor_move,,prompting,"{""x"":58,""y"":965}",,,371165
66945,session_1762096692449_ij9sf4nym,mouse,hover_end,"[placeholder=""Ask anything""]",prompting,,,,371182
66946,session_1762096692449_ij9sf4nym,mouse,cursor_move,,,"{""x"":0,""y"":876}",,,371270
66947,session_1762096692449_ij9sf4nym,mouse,cursor_move,,,"{""x"":0,""y"":726}",,,371377
66948,session_1762096692449_ij9sf4nym,mouse,cursor_move,,response,"{""x"":65,""y"":691}",,,371485
66949,session_1762096692449_ij9sf4nym,mouse,cursor_move,,response,"{""x"":179,""y"":640}",,,371591
66950,session_1762096692449_ij9sf4nym,mouse,hover_start,"[data-testid=""conversation-turn-2""]",response,"{""x"":37,""y"":701}",,"{""messageId"":2}",371746
66951,session_1762096692449_ij9sf4nym,mouse,cursor_move,,response,"{""x"":222,""y"":614}",,,372058
66952,session_1762096692449_ij9sf4nym,mouse,cursor_move,,response,"{""x"":338,""y"":588}",,,372164
66953,session_1762096692449_ij9sf4nym,mouse,cursor_move,,response,"{""x"":434,""y"":618}",,,372271
66954,session_1762096692449_ij9sf4nym,mouse,scroll,,prompting,"{""x"":0,""y"":828}",,"{""clientHeight"":830,""scrollHeight"":1691,""scrollDirection"":""down""}",374222
66955,session_1762096692449_ij9sf4nym,mouse,scroll,,prompting,"{""x"":0,""y"":575}",,"{""clientHeight"":830,""scrollHeight"":1691,""scrollDirection"":""up""}",374431
66956,session_1762096692449_ij9sf4nym,mouse,scroll,,prompting,"{""x"":0,""y"":568}",,"{""clientHeight"":830,""scrollHeight"":1691,""scrollDirection"":""up""}",374863
66957,session_1762096692449_ij9sf4nym,mouse,scroll,,prompting,"{""x"":0,""y"":176}",,"{""clientHeight"":830,""scrollHeight"":1691,""scrollDirection"":""up""}",375072
66958,session_1762096692449_ij9sf4nym,mouse,scroll,,prompting,"{""x"":0,""y"":1}",,"{""clientHeight"":830,""scrollHeight"":1691,""scrollDirection"":""up""}",375972
66959,session_1762096692449_ij9sf4nym,mouse,scroll,,prompting,"{""x"":0,""y"":242}",,"{""clientHeight"":830,""scrollHeight"":1691,""scrollDirection"":""down""}",376179
66960,session_1762096692449_ij9sf4nym,mouse,scroll,,prompting,"{""x"":0,""y"":244}",,"{""clientHeight"":830,""scrollHeight"":1691,""scrollDirection"":""down""}",377639
66961,session_1762096692449_ij9sf4nym,mouse,scroll,,prompting,"{""x"":0,""y"":277}",,"{""clientHeight"":830,""scrollHeight"":1691,""scrollDirection"":""down""}",377846
66962,session_1762096692449_ij9sf4nym,mouse,scroll,,prompting,"{""x"":0,""y"":294}",,"{""clientHeight"":830,""scrollHeight"":1691,""scrollDirection"":""down""}",378046
66963,session_1762096692449_ij9sf4nym,mouse,scroll,,prompting,"{""x"":0,""y"":312}",,"{""clientHeight"":830,""scrollHeight"":1691,""scrollDirection"":""down""}",378247
66964,session_1762096692449_ij9sf4nym,mouse,scroll,,prompting,"{""x"":0,""y"":334}",,"{""clientHeight"":830,""scrollHeight"":1691,""scrollDirection"":""down""}",378447
66965,session_1762096692449_ij9sf4nym,mouse,scroll,,prompting,"{""x"":0,""y"":336}",,"{""clientHeight"":830,""scrollHeight"":1691,""scrollDirection"":""down""}",378852
66966,session_1762096692449_ij9sf4nym,mouse,scroll,,prompting,"{""x"":0,""y"":468}",,"{""clientHeight"":830,""scrollHeight"":1691,""scrollDirection"":""down""}",379061
66967,session_1762096692449_ij9sf4nym,mouse,scroll,,prompting,"{""x"":0,""y"":670}",,"{""clientHeight"":830,""scrollHeight"":1691,""scrollDirection"":""down""}",379261
66968,session_1762096692449_ij9sf4nym,mouse,scroll,,prompting,"{""x"":0,""y"":765}",,"{""clientHeight"":830,""scrollHeight"":1691,""scrollDirection"":""down""}",379461
66969,session_1762096692449_ij9sf4nym,mouse,scroll,,prompting,"{""x"":0,""y"":803}",,"{""clientHeight"":830,""scrollHeight"":1691,""scrollDirection"":""down""}",379673
66970,session_1762096692449_ij9sf4nym,mouse,scroll,,prompting,"{""x"":0,""y"":812}",,"{""clientHeight"":830,""scrollHeight"":1691,""scrollDirection"":""down""}",379928
66971,session_1762096692449_ij9sf4nym,mouse,scroll,,prompting,"{""x"":0,""y"":833}",,"{""clientHeight"":830,""scrollHeight"":1691,""scrollDirection"":""down""}",380141
66972,session_1762096692449_ij9sf4nym,mouse,scroll,,prompting,"{""x"":0,""y"":859}",,"{""clientHeight"":830,""scrollHeight"":1691,""scrollDirection"":""down""}",380395
66973,session_1762096692449_ij9sf4nym,mouse,cursor_move,,response,"{""x"":434,""y"":618}",,,383702
66974,session_1762096692449_ij9sf4nym,mouse,cursor_move,,response,"{""x"":357,""y"":719}",,,383809
66975,session_1762096692449_ij9sf4nym,mouse,cursor_move,,response,"{""x"":251,""y"":821}",,,383916
66976,session_1762096692449_ij9sf4nym,mouse,cursor_move,,response,"{""x"":210,""y"":849}",,,384022
66977,session_1762096692449_ij9sf4nym,mouse,cursor_move,,response,"{""x"":185,""y"":864}",,,384129
66978,session_1762096692449_ij9sf4nym,mouse,cursor_move,,response,"{""x"":158,""y"":862}",,,384236
66979,session_1762096692449_ij9sf4nym,mouse,cursor_move,,response,"{""x"":142,""y"":855}",,,384344
66980,session_1762096692449_ij9sf4nym,mouse,cursor_move,,response,"{""x"":141,""y"":852}",,,384449
66981,session_1762096692449_ij9sf4nym,mouse,hover_start,"[aria-label=""Regenerate response""]",response,"{""x"":152,""y"":860}",,"{""messageId"":2}",384569
66982,session_1762096692449_ij9sf4nym,ui,message_action,regenerate-button,response,,,"{""messageId"":2,""actionType"":""toggle_regenerate_menu"",""isExpanding"":true}",384603
66983,session_1762096692449_ij9sf4nym,mouse,click,"[aria-label=""Regenerate response""]",response,"{""x"":141,""y"":852}",,"{""messageId"":2,""buttonType"":""submit"",""buttonHoverMessage"":""Regenerate response""}",384632
66984,session_1762096692449_ij9sf4nym,mouse,cursor_move,,response,"{""x"":141,""y"":852}",,,384850
66985,session_1762096692449_ij9sf4nym,mouse,hover_end,"[aria-label=""Regenerate response""]",response,,,"{""messageId"":2}",384902
66986,session_1762096692449_ij9sf4nym,mouse,cursor_move,,response,"{""x"":192,""y"":884}",,,384955
66987,session_1762096692449_ij9sf4nym,mouse,scroll,,prompting,"{""x"":0,""y"":863}",,"{""clientHeight"":830,""scrollHeight"":1959,""scrollDirection"":""down""}",385214
66988,session_1762096692449_ij9sf4nym,mouse,hover_start,"[placeholder=""Ask to change response""]",response,"{""x"":198,""y"":895}",,"{""messageId"":2}",385284
66989,session_1762096692449_ij9sf4nym,mouse,scroll,,prompting,"{""x"":0,""y"":1081}",,"{""clientHeight"":830,""scrollHeight"":1959,""scrollDirection"":""down""}",385423
66990,session_1762096692449_ij9sf4nym,mouse,hover_end,"[placeholder=""Ask to change response""]",response,,,"{""messageId"":2}",385623
66991,session_1762096692449_ij9sf4nym,mouse,cursor_move,,prompting,"{""x"":201,""y"":907}",,,385663
66992,session_1762096692449_ij9sf4nym,mouse,cursor_move,,response,"{""x"":188,""y"":860}",,,385772
66993,session_1762096692449_ij9sf4nym,mouse,cursor_move,,response,"{""x"":181,""y"":832}",,,385876
66994,session_1762096692449_ij9sf4nym,mouse,cursor_move,,response,"{""x"":178,""y"":817}",,,385983
66995,session_1762096692449_ij9sf4nym,mouse,cursor_move,,response,"{""x"":178,""y"":812}",,,386090
66996,session_1762096692449_ij9sf4nym,mouse,cursor_move,,response,"{""x"":182,""y"":789}",,,386196
66997,session_1762096692449_ij9sf4nym,mouse,cursor_move,,response,"{""x"":185,""y"":763}",,,386303
66998,session_1762096692449_ij9sf4nym,mouse,cursor_move,,response,"{""x"":185,""y"":762}",,,386437
66999,session_1762096692449_ij9sf4nym,mouse,cursor_move,,response,"{""x"":193,""y"":807}",,,386543
67000,session_1762096692449_ij9sf4nym,ui,message_action,search-web-button,response,,,"{""messageId"":2,""actionType"":""search_web""}",386781
67001,session_1762096692449_ij9sf4nym,ui,message_action,contextual-prompt-input,response,,,"{""messageId"":2,""actionType"":""contextual_prompt"",""promptText"":""Regenerate this response with searching the web"",""promptLength"":47,""useWebSearch"":true}",386781
67002,session_1762096692449_ij9sf4nym,ui,composer_interaction,send-button,prompting,,,"{""hasContext"":true,""promptLength"":3404,""isCustomPrompt"":true,""contextMessageId"":2}",386781
67003,session_1762096692449_ij9sf4nym,mouse,click,button.text-token-text-primary,response,"{""x"":194,""y"":818}",,"{""messageId"":2,""buttonText"":""Search the web"",""buttonType"":""submit""}",386808
67004,session_1762096692449_ij9sf4nym,mouse,hover_start,button.text-token-text-primary,response,"{""x"":191,""y"":797}",,"{""messageId"":2}",386829
67005,session_1762096692449_ij9sf4nym,mouse,scroll,,prompting,"{""x"":0,""y"":1131}",,"{""clientHeight"":830,""scrollHeight"":2200,""scrollDirection"":""down""}",386930
67006,session_1762096692449_ij9sf4nym,mouse,hover_start,"[data-testid=""conversation-turn-2""]",response,"{""x"":194,""y"":818}",,"{""messageId"":2}",387113
67007,session_1762096692449_ij9sf4nym,mouse,scroll,,prompting,"{""x"":0,""y"":1367}",,"{""clientHeight"":830,""scrollHeight"":2200,""scrollDirection"":""down""}",387129
67008,session_1762096692449_ij9sf4nym,mouse,hover_start,"[data-testid=""conversation-turn-2""]",response,"{""x"":194,""y"":818}",,"{""messageId"":2}",387143
67009,session_1762096692449_ij9sf4nym,mouse,hover_end,"[data-testid=""conversation-turn-2""]",response,,,"{""messageId"":2}",387197
67010,session_1762096692449_ij9sf4nym,mouse,hover_start,"[data-testid=""conversation-turn-3""]",response,"{""x"":194,""y"":818}",,"{""messageId"":3}",387498
67011,session_1762096692449_ij9sf4nym,mouse,cursor_move,,response,"{""x"":194,""y"":815}",,,426212
67012,session_1762096692449_ij9sf4nym,mouse,cursor_move,,response,"{""x"":541,""y"":348}",,,426318
67013,session_1762096692449_ij9sf4nym,mouse,cursor_move,,,"{""x"":839,""y"":0}",,,426604
67014,session_1762096692449_ij9sf4nym,mouse,cursor_move,,writing,"{""x"":1116,""y"":169}",,,428705
67015,session_1762096692449_ij9sf4nym,mouse,cursor_move,,response,"{""x"":683,""y"":491}",,,428805
67016,session_1762096692449_ij9sf4nym,mouse,cursor_move,,response,"{""x"":450,""y"":554}",,,428932
67017,session_1762096692449_ij9sf4nym,mouse,cursor_move,,response,"{""x"":341,""y"":537}",,,429038
67018,session_1762096692449_ij9sf4nym,mouse,hover_start,"[data-testid=""conversation-turn-4""]",response,"{""x"":892,""y"":344}",,"{""messageId"":4}",429049
67019,session_1762096692449_ij9sf4nym,mouse,cursor_move,,response,"{""x"":318,""y"":531}",,,429345
